Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
00055125,Juvenile,Good,No,,115.07,1.6,0.5,5.7
00059429,Middle aged,Fair,No,,7518.08,,,
00018254,Mature,Fair,No,,20419.63,426.4,8.8,215.2
00027155,Mature,Fair,No,,21447.74,448.3,9.6,379.1
00041326,Juvenile,Good,No,,524.3,9.9,1.4,12.8
00005354,Middle aged,Fair,No,,14619.98,381.9,10.1,223.6
00040482,Middle aged,Good,No,,0.0,,,
00047953,Middle aged,Fair,No,,194.18,4.3,0.8,12.6
00004274,Mature,Fair,No,,16681.57,351.7,7.9,40.2
00003481,Mature,Fair,No,,51740.6,1639.6,24.2,652.3
00051230,Middle aged,Fair,No,,2078.5,33.4,2.4,28.7
00049782,Juvenile,Good,No,,258.91,4.3,0.9,3.5
00049480,Middle aged,Not applicable,No,,2494.19,49.9,3.0,18.9
00058554,Juvenile,Good,No,,115.07,,,
00001738,Mature,Good,No,,47971.79,840.2,14.6,899.0
00011398,Mature,Fair,No,,9692.95,295.9,8.1,85.3
00010503,Middle aged,Fair,No,,1268.68,70.1,4.1,63.4
00010824,Mature,Good,No,,2494.19,32.3,1.8,50.2
00057336,Juvenile,Good,No,,528.62,,,
00011711,Mature,Good,No,,58031.12,1306.5,18.8,559.6
00017355,Mature,Good,No,,35953.35,1382.4,24.4,428.0
00003793,Mature,Good,No,,17873.12,497.3,13.4,327.2
00059602,,,No,,,,,
00017471,Middle aged,Good,No,,10485.99,160.6,4.3,385.5
00050476,Mature,Poor,No,,5825.55,179.1,6.5,60.8
00057509,Juvenile,Good,No,,153.43,,,
00035019,Mature,Fair,No,,6291.6,,,
00053208,Juvenile,Good,No,,783.21,8.4,1.3,23.6
00051161,Juvenile,Good,No,,239.74,2.4,0.6,11.6
00046030,Middle aged,Good,No,,3568.15,35.5,2.5,42.5
00002526,Mature,Fair,No,,18706.49,583.0,13.1,206.7
00007729,Mature,Good,No,,2589.13,67.9,4.1,32.9
00037337,Middle aged,Good,No,,1879.52,22.4,2.1,24.7
00057200,Juvenile,Good,No,,172.61,1.4,0.5,3.2
01100505_1,Juvenile,Good,No,,172.61,,,
00046144,Middle aged,Good,No,,1558.87,54.0,3.9,50.8
00059959,,,No,,,,,
00045122,Mature,Fair,No,,24165.25,950.9,15.9,292.4
00051327,Juvenile,Fair,No,,258.91,2.5,0.6,3.8
00040775,Middle aged,Fair,No,,414.26,7.4,1.0,142.6
00008347,Middle aged,Fair,No,,9398.56,204.0,6.6,182.3
00044760,Juvenile,Poor,No,,138.09,1.1,0.4,4.0
00026239,Middle aged,,No,,6068.29,73.5,3.4,42.5
00008475,Middle aged,Fair,No,,1456.39,39.8,2.9,71.7
00052228,Juvenile,Good,No,,699.07,4.4,0.9,3.5
00021388,Mature,Good,No,,59071.09,1698.5,28.7,539.7
00040293,Middle aged,Fair,No,,233.02,4.3,0.8,21.9
00013518,Middle aged,Good,No,,15534.8,148.1,6.6,340.3
00055782,Juvenile,Good,No,,422.9,2.7,0.7,9.9
00046014,Middle aged,Fair,No,,1585.85,16.2,1.5,34.4
00014606,Mature,Good,No,,14184.62,443.7,12.5,352.2
00014502,Mature,Good,No,,40242.69,1472.2,25.4,929.0
00021575,Mature,Poor,No,,6961.9,449.9,11.2,218.9
00011662,Mature,Fair,No,,5482.49,272.0,9.0,35.1
00017871,Mature,Good,No,,38521.46,1326.3,23.9,929.0
00056659,Juvenile,Good,No,,239.74,2.4,0.6,8.9
00042183,Middle aged,Good,No,,3883.7,67.2,4.1,18.3
00000926,Middle aged,Good,No,,6048.5,78.6,4.4,178.3
00010830,Mature,Good,No,,24535.28,554.2,11.5,162.2
00001051,Mature,Fair,No,,32894.95,625.5,11.0,220.8
00032383,Middle aged,Fair,No,,1093.91,27.6,2.4,44.4
00047912,Middle aged,Good,No,,552.35,5.0,0.9,24.7
00011429,Mature,Fair,No,,14619.98,356.6,8.4,82.5
00018705,Middle aged,Good,No,,10939.1,351.6,10.9,232.8
00004331,Mature,Fair,No,,13592.95,466.7,10.7,145.7
00059841,Juvenile,Good,No,,64.73,,,
00049520,Middle aged,Good,No,,8293.86,160.2,6.9,128.8
00038431,Middle aged,Good,No,,1044.28,16.2,1.8,47.5
00027194,Middle aged,Fair,No,,8293.86,221.4,7.0,146.6
00041282,Middle aged,Fair,No,,1747.67,62.1,3.8,20.6
00059073,Not Applicable,Dead,No,,970.93,,,
00045254,Middle aged,Good,No,,719.2,12.3,1.5,33.7
00045347,Middle aged,Fair,No,,2423.24,54.0,3.2,58.5
00009596,Middle aged,Fair,No,,9786.92,226.5,6.1,29.5
00055390,Middle aged,Fair,No,,345.22,4.7,0.8,12.5
00002551,Mature,Fair,No,,18879.1,406.9,8.6,220.8
00019518,Mature,Fair,No,,132909.95,4741.2,30.2,1578.6
00015492,Mature,Fair,No,,3171.69,67.9,3.7,44.5
00021345,Mature,Fair,No,,21576.12,622.4,15.0,307.2
00010189,Mature,Good,No,,62139.2,1995.1,30.4,938.9
00004857,Mature,Good,No,,13321.09,269.7,7.6,109.0
00059119,Middle aged,Poor,No,,3171.69,,,
00019222,Middle aged,Fair,No,,1268.68,12.8,1.4,31.0
00003365,Mature,Fair,No,,32894.95,1215.1,20.1,205.0
00002375,Mature,Fair,No,,3132.85,86.9,4.3,77.2
00059008,Middle aged,Good,No,,3480.95,,,
00029517,Mature,Fair,No,,24535.28,554.2,10.2,276.7
00052580,Middle aged,Good,No,,1903.01,3.8,0.8,16.3
00015913,Mature,Fair,No,,14020.16,313.9,9.0,81.0
00004747,Mature,Fair,No,,23681.94,406.9,8.6,142.9
00037114,Mature,Fair,No,,2589.13,82.6,4.4,76.0
00011048,Mature,Fair,No,,4838.09,233.7,8.3,161.6
00014409,Middle aged,Fair,No,,7364.65,183.3,6.6,242.2
00007842,Mature,Good,No,,89480.46,3153.2,39.9,1607.8
00059604,,,No,,,,,
00045566,Mature,Good,No,,4495.03,137.7,6.9,216.9
00055547,Juvenile,Good,No,,153.43,0.9,0.3,4.7
00035029,Mature,Good,No,,3171.69,75.6,4.4,30.1
00055281,Juvenile,Good,No,,115.07,1.4,0.4,2.6
00021449,Middle aged,Fair,No,,863.04,12.8,1.3,16.6
00010444,Middle aged,Good,No,,4177.14,92.8,4.9,77.2
00021739,Mature,Good,No,,9515.06,489.5,14.3,199.5
00042041,Middle aged,Good,No,,1380.87,,,
00003371,Mature,Good,No,,18262.02,506.7,13.5,229.1
00038317,Mature,Fair,No,,2854.52,76.3,3.9,25.4
00034223,Middle aged,Good,No,,469.88,5.4,1.0,11.6
00040323,Juvenile,Fair,No,,161.82,2.7,0.6,9.9
00030321,Mature,Good,No,,44740.23,1058.6,16.7,450.6
00048604,Juvenile,Good,No,,414.26,4.3,0.9,21.9
00027226,Mature,Fair,No,,9692.95,334.0,8.8,142.9
00012165,Mature,Good,No,,5523.49,215.6,8.9,82.4
00020462,Middle aged,Good,No,,6041.31,182.9,7.0,76.2
00054748,Middle aged,Fair,No,,783.21,16.0,1.6,14.4
00051940,Middle aged,Fair,No,,475.76,2.3,0.5,2.8
00037959,Middle aged,Good,No,,1747.67,62.1,4.3,67.7
00041672,Juvenile,Fair,No,,233.02,,,
00016395,Mature,Fair,No,,4177.14,83.6,4.2,31.6
00054621,Middle aged,Fair,No,,3145.8,81.1,3.6,42.5
00001386,Mature,Fair,No,,11283.82,345.2,9.6,173.0
00047467,Juvenile,Fair,No,,3916.07,69.9,3.8,173.8
00015596,Juvenile,Good,No,,5505.15,87.1,4.0,109.0
00003574,Mature,Fair,No,,7759.73,187.3,6.7,128.8
00045009,Mature,Good,No,,1553.48,5.2,0.1,50.0
00002789,Middle aged,Good,No,,2336.69,52.8,4.1,71.1
00019272,Mature,Fair,No,,30931.52,1169.3,19.7,220.8
00004230,Mature,Good,No,,41352.78,1399.8,24.6,594.5
00052328,Juvenile,Good,No,,613.72,3.4,0.8,14.6
00040434,Middle aged,Good,No,,5443.66,198.5,8.4,149.5
00053019,Mature,Fair,No,,12583.19,224.1,6.4,187.6
00041164,Juvenile,Fair,No,,414.26,7.5,1.0,13.7
00058653,Mature,Good,No,,14768.85,,,
00047463,Middle aged,Good,No,,2621.5,35.9,2.9,41.2
00020524,Mature,Fair,No,,8285.23,169.1,5.4,83.0
00030330,Mature,Fair,No,,10904.57,213.0,5.9,277.7
00013384,Mature,Fair,No,,30931.52,755.4,12.2,112.6
00052018,Juvenile,Good,No,,460.29,2.4,0.6,8.6
00052489,Middle aged,Good,No,,2854.52,61.4,4.3,82.4
00045065,Middle aged,Fair,No,,503.44,7.4,1.0,37.1
00013828,Middle aged,Good,No,,11223.89,221.2,7.3,356.1
00038244,Juvenile,Good,No,,271.85,1.4,0.5,8.9
00011688,Mature,Fair,No,,16781.42,653.9,13.0,368.2
00048222,Mature,Good,No,,850.82,14.4,1.6,47.5
00005211,Mature,Fair,No,,4233.95,182.2,7.1,122.4
00012521,Mature,Fair,No,,1294.57,40.7,2.9,29.3
00006666,Mature,Good,No,,36463.63,1387.2,24.4,575.4
00040439,Middle aged,Good,No,,1035.65,14.5,1.8,19.1
00032710,Middle aged,Fair,No,,3068.6,32.7,2.5,66.7
00018848,Mature,Good,No,,87626.0,2765.2,36.9,722.4
00002445,Mature,Fair,No,,15224.1,347.4,9.6,232.1
